nid,title,anyo_produccion,body_value
2171,"La maestra normal",1996,"Basado en la obra homónima del famoso novelista argentino Manuel Gálvez, el director desarrolla una versión libre. La aventura romántica empieza cuando llega desde Buenos Aires a
un pueblo perdido entre la agreste naturaleza riojana un joven maestro con rasgos de poeta que se enamorar de una muchacha con un pasado pecaminoso. La relaclón se verá enrarecida por las hipocresías, los odios y los comentarios de la gente pacata que también esconde sus oscuros secretos.
"
2173,"El verso",1995,"Entre el sainete y el grotesco, Juan, que ha perdido su trabajo, <i>versea</i> en un colectivo los valores de un afilador de cuchillos, no puede contra las deudas que contrae ni puede con su familia, la mujer y dos chicos. Un día, la mujer lo deja, se le termina el crédito y a Juan sólo le queda su sueño de ser locutor de radio."
2175,"El día que Maradona conoció a Gardel",1995,"La trama se desarrolla en una ficción centrada en la madrugada previa a la muerte de Carlos Gardel, cuando éste conoce a una misteriosa mujer con la que firma un pacto de
inmortalidad. Ella le ofrece lo que el dinero y el éxito del momento no podían asegurarle, el amor eterno del pueblo. Un extraño relojero, el ángel bueno de Gardel, devela la historia a un joven editor de televisión, y juntos buscarán liberar el alma del cantor, emprenderán la odisea de encontrar a la contrafigura del mito y con él destruir el sortilegio de la fábula. Esa figura es Diego
Armando Maradona."
2177,"La dama regresa",1996,"El tema se centra en una mujer que, luego de muchos años de ausencia de su lugar de origen, y convertida en una dama adinerada, decide salvar al intendente del pueblo, antiguo
amante suyo. Pero su viaje tiene otra intención: quiere vengarse de sus otrora humilladores con la más cruel de las herramientas, el dinero que le quedó como herencia."
2179,"Años rebeldes",1996,"Una adolescente porteña anda en busca de su camino en pleno 1955. No está conforme con su condición de hija de inmigrante - el papá es un siciliano de ideas revolucionarias que se gana la vida como sastre - pero cuando habla francés en sus clases de la secundaria lo hace con acento italiano. Ama la poesía y aveces escribe alguna,
admira a una compañera de origen judío y también a una profesora que la escucha, la estimula, y traba con ella una relación extraescolar. Todo lo contrario de la relación con su hogar y su padre."
2181,Geisha,1995,"Una mujer va buscando su propia identidad en la aureola de misterio de una amiga muerta. En el camino, perderá la propia personalidad y será absorbida por la otra."
2182,"Flores amarillas en la ventana",1996,"En medio de un desértico paisaje patagónico Doña Margarita espera por el tren que le traer un ataúd. Con él llegar  también una carta que la retrotraerá hacia antiguos recuerdos y servirá como disparador de una historia en la que ella es Margarita a secas, trabaja como sirvienta en la estancia Bremen, sufre los gritos de la Señora Teresa, esposa del terrateniente, y prodiga los besos al peón más joven y más apuesto del lugar."
2183,"Boda secreta",1988,"Un hombre regresa a su pueblo tras doce años de ausencia, después de haber sido miembro activo de la guerrilla. Durante todo ese tiempo, no ha visto a su novia ni ha tenido noticias de ella..."
2184,"Al corazón",1995,"La obra propone compartir un azaroso recorrido por los cruces entre el tango y el cine argentino. Lugares y estrellas son presentados por los encargados de prologarlos e inmediatamente aquellos dominan el centro de la pantalla en blanco y negro, algunas veces en color. Azucena Maizani, Carlos Gardel, Alberto Castillo, Aníbal Troilo, Tito Lusiardo, Luis Sandrini, Libertad Lamarque, son algunos de los personajes rescatados de films de época."
2185,"De mi barrio con amor",1995,"En un vaivén entre la realidad y la fantasía, varias historias, unas explícitas, otras sugeridas, ocupan en su centro los intereses afectivos de Pirucho {Luis Brandoni}, por la viuda carnosa {Alicia Bruzzo} de la otra cuadra. Ello no impide que asomen otros habitantes de la pequeña
región, a quienes el guión les regala su atención por algunos momentos. La hija del almacenero del teléfono, el dueño del café de un solo cliente, el músico del violín serrucho, un ex-preso que construye su andar entre los versos del tango "A la luz del candil" actúan en un lugar que carece de forma definida. Es un espacio sin tiempo que
configura un notable hallazgo dramático."
2186,"Despabílate amor",1996,"Un hombre con nostalgias de su época de adolescente ha descubierto en el rock que practica todos los días un remedio contra el envejecimiento. Quiere volver a ver a su antigua barra de amigos y pone en marcha el encuentro. Les
propone un asalto como los de antes. Así llega a dar con Ernesto, un periodista cuarentón, ex militante y ex exiliado que anda detrás de una misteriosa cubana. El film muestra dos caras: la evocación nostálgica y el retrato actual de los personajes de ayer colmado de emoción."
2189,"Lola Mora",1995,"Biografía de la escultora argentina a quien Buenos Aires debe uno de sus monumentos más preciados y más distintivos, la Fuente de las Nereidas. Singular artista que ganó celebridad tanto en su tierra como en Europa luchando en un mundo de hombres en el que debió soportar la pacatería y la mezquindad. Padeció en carne propia el dolor de la soledad, la pobreza y el olvido."
2191,"Hundan al Belgrano",1996,"Relato minucioso de cada uno de los detalles de la Guerra de Malvinas sobre la base de entrevistas, escenas dramáticas, mapas y otros elementos de raíz histórica sin pasar por alto los antecedentes históricos desde el Siglo XVIII que terminaron en esta confrontación."
2193,"Adiós, abuelo",1996,"Juan Benatti, cantante de tangos de un cuarteto típico, queda a cargo de Ignacio, de cinco años, el hijo del director del conjunto, Horacio, y de Marisa, cuando sus padres deben exiliarse por razones políticas. Ignacio llama a Juan abuelo y será un padre para él. Horacio muere en el exterior, su madre se vuelve a casar y reclama al niño. Pero como éste no se lleva bien con el nuevo compañero de su madre, la custodia recae definitivamente en Juan que educará al pequeño hasta que llega ser un muchacho graduado de la escuela secundaria, que rechaza ser universitario para convertirse en músico de un conjunto rockero del que será voz y animador."
2194,"Buenos Aires viceversa",1996,"Jóvenes desorientados, dos de ellos son hijos de padres desaparecidos en la última dictadura, entrelazan sus vidas con adultos llevando la acción a un final tan dramático como simbólico del pasado reciente, cuyos efectos perduran en pensamientos y acciones de los protagonistas."
2196,"Quereme así (Piantao)",1997,"El film narra la biografía épica de Astor Piazzolla, transmite su música y refleja su pensamiento. Como eje musical, se suceden solos en bandoneón de tangos de Astor ejecutados por Marconi, Federico, Binelli, Mederos y Garello."
2197,"Un asunto privado",1995,"Una artista, antiguo mito de una generación, contrata a un gigoló por intermedio de su fiel sirviente y amante para materializar un juego de espejos y representaciones, pero estas intenciones se complican y pasan a ser un hecho
delictivo. A lo largo de estas situaciones en que el deseo carnal, las simulaciones, la traición y la venganza se convierten en catalizadores del trío
        protagonista, intervienen otros personajes que se
        unen a la historia, que no ahorra sexo, violencia y
        mentiras.
"
2200,"Martín (Hache)",1997,"Martín, un cineasta de
        Buenos Aires radicado en Madrid,
        hace tiempo ha dejado de dirigir para dedicarse a
        escribir guiones. Pero en el mismo momento en que
        le ofrecen dirigir uno de sus propios libros,
        recibe la noticia de que su hijo, también llamado
        Martín habría intentado suicidarse."
2203,"24 horas (Algo está por explotar)",1997,"Una estación de servicio al borde
        de la destrucción, ya que una deficiencia técnica
        puede producir una tragedia, y que permanece
        abierta todo el día, posee un bar y un minimercado,
        es el permanente escenario de esta historia en la
        que numerosos personajes se entrecruzan. "
2206,"Noche de ronda",1997,"Un cliente del bar La Luna se
        autodefine a su dueña como un contador de historias
        y, a la vez, como su ladrón. Se dedica, en efecto,
        a recopilar historias que escucha
        -subrepticiamente- en los cafés. Sólo que en este
        bar, su dueña se interesa excesivamente, tanto por
        el método como por su creador. Se establece una
        relación que se entrecruzará con algunos de estos
        relatos hurtados.
"
2207,"Canción desesperada",1996,"Pablo, el Pibe Alberto y María son
        tres argentinos atrapados en una Nueva York
        marginal. Pablo es un bailarín clásico que se
        convirtió en periodista debido a que un accidente
        le impidió seguir en el ámbito de la danza. Enviado
        para hacer una nota a la ciudad estadounidense,
        conoce a Alberto, un veterano bailarín de tango que
        carga con un problema sin solución, y a María, su
        pareja.
"
2208,"Antigua vida mía",2001,"Una restauradora anhela la maternidad y vive una tormentosa relación con su marido. Una cantante sufre de una profunda soledad afectiva, fruto amargo de su excesiva dedicación al trabajo. Con Buenos Aires y la ciudad guatemalteca de Antigua como telón de fondo, entre ambas surge una profunda amistad."
2209,"La chica del lunes",1967,"Una familia burguesa norteamericana vive en un país centroamericano por motivos laborales. Allí, la madre alcohólica regalará a los pobres la muñeca preferida de su hija caprichosa y los tres emprenderán un viaje a los suburbios para recuperarla."
2210,"Hasta la victoria siempre",1997,"Biografía de Ernesto "Che" Guevara
        con episodios que van desde su infancia, sus
        estudios de medicina y prácticas en leprosarios, su
        militancia en la revolución cubana al lado de Fidel
        Castro y, finalmente, su guerra de guerrillas en la
        selva boliviana hasta su muerte.
"
2211,"El Che",1997,"La trama está centrada en los
        últimos meses de Ernesto Guevara y transcurre casi
        por entero en la selva de Bolivia.
"
2214,Prohibido,1996,"El film alude a la propaganda que el último
        régimen militar hacía en cánticos agradecidos,
        eslóganes publicitarios y exhibiciones televisivas
        de sus jerarcas, que bien recuerdan el uso de los
        medios visuales y de audio en la Alemania nazi y en
        otras dictaduras."
2216,"Territorio comanche",1997,"En un breve alto de la Guerra de
        los Balcanes, llega a Sarajevo una periodista
        argentina y se encuentra con un relator de
        noticieros y con un camarógrafo expertos en
        guerras, audaces ante el peligro y obsesionados por
        que la destrucción no acabe para poder proseguirla
        con la imagen y las palabras. La protagonista
        reflexiona sobre el periodismo en las situciones
        límite en medio de escombros, el fuego de las
        bombas y el ruido de explosiones y balas sueltas
        sin destinatario ni procedencia.
"
2218,"Dile a Laura que la quiero",1995,"Jorge y Laura forman un matrimonio
        armónico. Él es un ejecutivo de una compañía que no
        atraviesa un buen momento financiero y ella se
        dedica a la fotografía artística y, tenazmente, no
        soporta la infidelidad que llega de la mano de una
        ardorosa compañera de trabajo del marido. Laura
        deja el hogar y cae en una gran desesperación.
        Jorge, en tanto se da cuenta de que perdió a la
        mujer que ama. Junto a los personajes principales
        desfilan otros en una historia de encuentros y
        desencuentros donde cada uno pretende solucionar su
        existencia al borde del más calamitoso desastre."
2220,"Bajo bandera",1997,"La historia alude a la muerte misteriosa de un soldado dentro de un cuartel y a su investigación en el sur argentino."
2222,"El impostor",1997,"El último proyecto de María Luisa
        Bemberg, relata la extraña historia de Sebastián
        Heredia, el muchacho que se ha aislado en el campo
        de sus padres en la desolación pampeana y al que un
        día le llega un huésped, de su misma edad con la
        excusa de estudiar los pájaros de la región. El
        guión recoge en buena medida la prosa de Silvina
        Ocampo."
2224,"La vida según Muriel",1997,"En un lugar del sur argentino, se
        encuentran dos mujeres que nada tienen en común
        salvo el sentimiento de soledad. Muriel las observa
        con ojos de nena tempranamente sabia."
2226,"El sekuestro",1997,"En una republiqueta tropical latinoamericana, unos cuantos hombres y una mujer, integrantes de una célula del Frente Patriótico de Liberación de Río Hondo, secuestran al empresario italiano Renato Cefalú.
"
2229,"Historias clandestinas en La Habana",1996,"Hasta la capital cubana llega
        Laura, una argentina que huye de una crisis de
        pareja. Allí conoce a Frank, un taxista divorciado
        que vive con su madre, la que se reencontrará con
        Francisco, un empresario que, solitario y triste,
        decide terminar con su vida. A estos dos entramados
        se les suman Carlos y Jaime, que deben ocultar su
        pasión sexual, y la de dos periodistas que
        intentan, juntos, reconstruir su penosas
        existencias.
"
2234,Comodines,1997,"Dos policías deben hallar al doble agente, el comodín, que trabaja al amparo de la ley pero enganchado con narcotraficantes. La cabeza requerida es un policía de rango. La acción se desarrolla con explosiones y tecnología de punta.
"
2235,"De amor y de sombra",1995,"En tiempos de la dictadura, una joven ingenua novia de un militar, se relaciona con un hombre que le hará darse cuenta de la realidad en la que está inmersa."
2236,"Dibu, la película",1997,"Film animado. Dibu, hijo de un matrimonio que
        siempre debe estar atento a las diabluras de su muy
        especial "chico", se apasiona por las carreras de
        kartings y, frente a la ausencia de su madre, el
        padre y el abuelo deciden ayudar a Dibu en su
        caprichoso empecinamiento.
"
2238,Graciadió,1997,"Tres muchachos hijos del suburbio,
        de la calle y de la depresión económica, deambulan
        por un micromundo donde la delincuencia, la
        incomprensión y la soledad son sus permanentes
        compañías.
"
2240,"Cenizas del paraíso",1997,"Tres hermanos se adjudican la muerte de la novia de uno de ellos. La víctima es casualmente la hija de un poderoso empresario sospechado de corrupción y crímenes por encargo que, entre otros, manda asesinar al juez que lo investiga, a su vez, el padre de los tres hermanos."
2241,"La lección de tango",1997,"Sally es una directora que escribe
        el delirante guión de una película sobre la moda,
        pero que en verdad no quiere filmar, sea por
        exigencias de Hollywood o porque descubre que el
        tango es una mayor fuente de inspiración. Con Pablo
        Verón, exitoso bailarín de tango en Europa,
        entablar  una relación de amor - odio, con acento
        en lo primero.
"
2242,"Fantasmas en la Patagonia",1996,"Film documental testimonial. Sierra Grande, hasta 1992 vivía de un
        yacimiento de hierro. Ese año un decreto
        gubernamental cerró la mina y a partir de allí
        comenzó el éxodo de sus pobladores. Quienes se
        quedaron tuvieron historias, conflictos y vivencias
        entre recuerdos de épocas florecientes y los
        barrios ahora abandonados.
"
2244,"El sueño de los héroes",1997,"La historia transcurre en varios
        barrios porteños y entre dos carnavales, el de 1927
        y el de 1930. El protagonista, Emilio Gauna, ha
        ganado a las carreras e invitado a su barra de
        amigos a vivir una juerga de varios días. Al
        finalizar, busca reconstruir varios hechos que
        permanecen ocultos en su memoria por culpa del
        alcohol o por otras razones que no alcanza a
        dilucidar. Tres años más tarde y luego de haberse
        casado con la bella Clara - hija del brujo Taboada
        -, vuelve a ganar dinero e invita a sus amigos a
        reproducir con absoluta precisión las
        circunstancias vividas durante el carnaval
        anterior, al cabo de las cuales Gauna entenderá que
        no se puede escapar de un destino momentáneamente
        postergado.
"
2247,"Sapucay, mi pueblo",1997,"Un sacerdote simpático y siempre
        dispuesto a la gracia espontánea y la filosofía
        cotidiana, guía a todos los pobladores de Sapucay,
        una pequeña y olvidada localidad de la Provincia de
        Corrientes, en su protesta por la intención de su
        intendente de permitir cerrar la única escuela de
        la zona para instalar en su lugar un casino. La
        aventura se transforma en una corriente de
        desazones, alegrías y padecimientos donde todos se
        unen por el bien común."
2248,"La furia",1997,"Mafias que han dejado su huella en
        episodios que nadie termina de esclarecer,
        funcionarios públicos y guardianes de la ley
        involucrados en toda clase de delitos; jueces
        separados de sus causas, envueltos en una maraña de
        sospechas o directamente sometidos a juicio
        político; la sombra de la corrupción por todas
        partes y la inquietante sensación de que reina la
        impunidad. El hijo de un juez incorruptible y
        severo ha caído en la cárcel por un confuso asunto
        de drogas, y la novia, que confía en su inocencia,
        busca el modo de ayudarlo. El austero juez que por
        no traicionar sus principios es capaz de abandonar
        a su suerte al hijo encarcelado deviene en un
        campeón de la acción directa. 
"
2249,"Pequeños milagros",1997,"Una adolescente, en proceso de
        maduración, siente que es un hada cuya finalidad es
        cumplir los deseos legítimos de sus semejantes. La
        chica trabaja en un supermecado y entabla diálogos
        sin respuesta con los clientes y con pasajeros del
        transporte en el que viaja. Ayuda en sus lecturas a
        un ciego y una ciega, encuentra un día a su madre,
        que la quiere poco, y también se reecuentra con su
        padre. Un chico que la descubre con una cámara
        oculta accionada desde su computadora, parece que
        al fin se convertirá en el amor de su vida.
"
2250,"La cruz",1997,"Alfredo, por borracho y
        malhumorado, pierde su trabajo a causa de haber
        sido abandonado por su mujer que, con sus dos hijas
        pequeñas, se fue a vivir con Pablo, un famoso
        artista plástico. Alfredo insiste en hacer regresar
        a su mujer y recobrar su familia. Se hará pasar por
        Pablo y entrará en relación con mujeres que han
        tenido que ver con el pintor veinte años atrás.
        Esas mujeres le confesarán patéticas intimidades
        del verdadero Pablo, que él intentará usar para
        destruir la imagen de su rival frente a su mujer.
"
2252,"Corazón iluminado",1998,"Esbozo autobiográfico el realizador en el personaje de Juan, un director de cine, que se muestra en su edad de adolescente y de adulto en tiempos diferentes, el tienmpo real y el de su interior. Juan regresa a su ciudad natal para asistir a la muerte de su padre y a la penuria de descubrir que un viejo amor está apenas herrumbrado. 
"
2253,"Momentos robados",1997,"En un cine de pueblo patagónico de
        1947, Letty, se sumerge en sueños de ficción y se
        apasiona cada semana con los personajes de
        celuloide. Casada con Tomás, el médico de la zona,
        Letty esgrime también otra forma de escape:
        fantasea, en el interior de su casa, con mundos en
        los que ella es una mujer fatal. La aparición en el
        lugar de un apuesto desconocido se convierte en el
        detonante de un desenlace dramático.
"
2254,"Yo, Sor Alice",1999,"El film es una travesía por un período de la historia argentina de la mano de Alice Domon, una religiosa francesa perteneciente a la congregacion Hermanas de las Misiones Extranjeras, que vivió en Argentina desde 1967 y fue secuestrada y desaparecida por la última dictadura militar por su compromiso social junto a los pobres.<p>
La visión de la propia Alice sobre esos años difíciles es narrada a través de la lectura de las correspondencia que ella mantuvo con su familia. Sus cartas revelan la confrontación con una sociedad en crisis y el avance de su compromiso con la realidad que le tocó vivir."
2256,"Cohen vs. Rosi",1998,"Dos familias rivales de distinto
        origen se unen a la fuerza por el amor de dos
        jóvenes. El periodista Ariel Cohen se enamora de
        Carla Rosi, al mismo tiempo que investiga a su
        padre, Giancarlo, un acaudalado hombre de turbios
        negocios que es candidato a diputado con
        aspiraciones presidenciales.
"
2257,"Tesoro mío",1999,"Apenas inspirada en el caso de Mario Fendrich, el subtesorero de un banco que de un día para el otro se robó tres millones de pesos, la película cuenta la historia de un empleado bancario que lleva una vida mediocre, de su mujer, su hija, su amante y sus amigos."
2258,"Nueces para el amor",2000,"El film transcurre en dos tiempos. Comienza en 1975, durante los últimos meses del gobierno de Isabel Perón. A la salida del recital despedida de Sui Géneris, Alicia y Marcelo se conocen. Nada parece unirlos. Sin embargo, la atracción es instantánea. Décadas después, el destino volverá a unirlos."
2259,"Los días de la vida",2000,"Martín estudia y vive con su madre divorciada. En plena crisis, acrecentada por el consumo de drogas y alcohol, va en busca de su padre, pero no consigue una respuesta que pueda ayudarlo."
2260,"El camino",2000,"Es la historia de el joven Manuel, quien en su veloz moto sale a recorrer la Patagonia argentina en busca de su padre, y de si mismo. En medio de su viaje encontrará lo inesperado, una chica llamada Carolina, y entre ellos nacerá algo más que una amistad."
2261,"Diario para un cuento",1997,"Un traductor trabaja en el puerto de Buenos Aires traduciendo las cartas de amor que reciben las prostitutas.
"
2262,"Almejas y mejillones",2000,"Un científico que estudia la conducta sexual de los mejillones, alquila una casa en Tenerife pero la propiedad está ocupada por la antigua inquilina, Paula.
A los dos les gustan las mujeres. El científico se enamora de ella y decide cambiar de sexo para conquistarla."
2263,"El astillero",1999,"Santa María, un pueblo melancólico de la costa rioplatense, en los años 50. Larsen, un empecinado rufián, expulsado por su intento de instalar un prostíbulo, regresa cinco años después, dispuesto a vengarse."
2264,"Un crisantemo estalla en cinco esquinas",1997,"Erasmo es un joven que en su
        nacimiento es abandonado por sus padres, que huyen
        de una guerra que los persigue. Cuando su nodriza,
        Elsa, es violentada y muerta, debe adoptar un
        camino: el de matar a asesino que, no es otro que
        el líder de su tierra.
"
2265,"Cien años de perdón",1999,"Celina no soporta más la ciudad. Nació en un pueblo del interior y viajó hasta la gran metrópoli en busca de fortuna. Ahora regresa a su hogar después de muchos años. Mauricio Matzkin es un comerciante sencillo que cuida a su madre. Hugo, hermano de Celina, vive en las afueras junto a su padre y su madre enferma, ahora nuevamente con Celina. Hugo le debe dinero a Matzkin y Mauricio intenta recobrarlo. Y comienza una historia."
2266,"Nueve reinas",2000,"Dos mediocres estafadores se conocen en una estación de servicio una madrugada y atravesarán juntos el día intentando dar un golpe maestro."
2267,"El mar de Lucas",1999,"La noche en que Juan Denevi festeja sus 50 años en su pequeño restaurante, una hermosa mujer ingresa con un bebé a cuestas y lo deja en sus brazos."
2268,"Pizza, birra, faso",1997,"El Cordobés vive con sus tres amigos y su mujer embarazada, Sandra, en la misma casa. Esta banda de adolescentes marginales pulula por Buenos Aires viviendo del robo pero siempre dependen de alguien que los emplea y les quita la mayor parte del botín. La filosofía de vida del Cordobés y los suyos parece ser que mientras no falten la pizza, cerveza y cigarrillos, todo es soportable."
2269,Felicidades,2000,"Buenos Aires, 24 de diciembre. Una noche calurosa, sofocante y húmeda. Apenas faltan unas horas para Nochebuena. Es esta jornada de cristiandad, gente común y corriente se ve obligada a intentar ser mejores personas, solidarios y hasta felices."
2271,"Harto The Borges",2000,"Documental sobre Jorge Luis Borges."
2272,"Afrodita, el jardín de los perfumes",1998,"Basado en la visión de Hesíodo, en
        la clásica Teogonía, el film comienza en la ciudad
        de Citrea cuando Cronos, el hijo menor de Urano,
        mutila los genitales de su padre y los arroja al
        mar. Todos los dioses esperarán que, de la unión de
        los genitales de Urano y la espuma de las aguas,
        nazca Afrodita. Al día siguiente los Céfiros
        encuentran un joven adolescente desnudo y durmiendo
        en las orillas del mar. Sin ninguna duda,
        determinarán que es Afrodita. Y lo llevarán a
        Citrea y esposará a Hefesto. Allí se convertirá en
        un conflictivo personaje de ambigua sexualidad que
        no intentará cambiar la historia de la humanidad y
        se tornará un ser desesperanzado.
"
2273,Fuckland,2000,"Primera película argentina rodada según los postulados del Dogma 95, con un equipo de filmación que llegó semiclandestinamente a las islas Malvinas. 
Un argentino se propone reconquistar las islas con la idea de embarazar a las nativas del lugar y así repoblar el suelo con nuevas generaciones de argentinos."
2274,"Tinta roja",1998,"El documental tiene por tema no las
        noticias policiales sino quienes las fabrican, un
        grupo de periodistas cuyo humor corrosivo tiene
        como contrapartida un escepticismo existencial que
        con la mirada puesta en la ambigüedad del discurso
        periodístico, manipulan y explotan el dolor, la
        muerte y el miedo ajenos.
"
2275,"Ángel, la diva y yo",1999,"En el Buenos Aires de fin de milenio un joven documentalista desesperanzado por su porvenir decide filmar su último acto."
2276,"Buenos Aires plateada",2000,"Un director de televisión ha realizado el capítulo inicial de una comprometida serie basada en su propia historia y quiere ponerla al aire. Para ello busca el apoyo de dos viejos amigos, con quienes compartió el pasado político y que hoy tienen importantes cargos en los medios y el gobierno. Pero ellos tienen otros compromisos más fuertes y el programa piloto no los entusiasma. Secundado por su mujer, el autor pone entonces en escena una historia donde nada es lo que parece."
2277,"Sus ojos se cerraron",1998,"La vida de Renzo Franchi, un
        oscuro cantor de tangos de 1933, cambia por el amor
        de Juanita, hermosa joven española y novia del
        guitarrista de su trío, Gustavo. Cuando conoce a
        Renzo percibe su gran parecido físico con Carlos
        Gardel, del que es ciega admiradora. "
2278,"P4R+ Operación Walsh",1999,"Quienes más cerca de él estuvieron, nos brindan un <a href='../personas/index.php?persona=7196'>Rodolfo Walsh</a> distinto: valiente, mujeriego, talentoso, amante del whisky, obsesivo, militante, lleno de dudas... pero fundamentalmente humano."
2281,"Montoneros, una historia",1994,"Film documental. Ana, una ex-mononera, evoca la
        experiencia de los años violentos de la Argentina
        en el movimiento montonero con los ojos del
        presente y con los interrogantes que aún no ha
        podido responderse. Historia personal y colectiva a
        la vez, evoca los días tumultuosos de su juventud,
        desde su ingreso en la Universidad hasta su
        encierro en la Escuela de Mecánica de la Armada, y
        desde su vinculación con Juan, combatiente
        convencido, hasta el nacimiento de la hija de
        ambos, va enhebrando los restantes testimonios y
        las imágenes tomadas de noticieros y videotapes que
        reproducen rostros y episodios clave de aquellos
        años: el ajusticiamiento de Aramburu, los
        copamientos y los choques armados, la masacre de
        Ezeiza, el regreso de Perón al gobierno, la vuelta
        de los Montoneros a la clandestinidad, el tiempo de
        Isabel y López Rega y la usurpación del poder por
        la Junta Militar, con su secuela de crímenes,
        secuestros y desapariciones.
"
2282,"El asadito",1999,"El 30 de diciembre de 1999 se encuentran a comer un asado 7 amigos más un invitado sorpresa. El encuentro es en la terraza de Tito, el anfitrión, y la reunión se prolonga hasta las últimas horas del milenio."
2283,"Chicos ricos",2000,"Dos premiados creativos publicitarios organizan una fiesta en su mansión y son sorprendidos por dos ladrones que intentan robarles para pagar sus deudas con la mafia.
"
2284,"Plaza de almas",1997,"Marcelo, joven artista plástico, se gana la vida pintando en una plaza junto a otros artistas callejeros. Sufre una sensación de abandono, ya que proviene de una familia desmembrada y, quizá por ello, pone toda su energía en consolidar la relación con su novia. Pero ésta tiene otros planes, lo que genera un conflicto al comunicarle su embarazo."
2287,"Viaje por el cuerpo",2000,"El dibujó su mundo detrás de la mirada y lo pobló de imágenes clandestinas robadas al sueño de Papá y Mamá. Voyeur al fin, la fotografía le permitió la excusa para intentar el gesto de salida del mandato familiar. Y así, ligero de equipaje, se subió al único tren. La ciudad, vieja veleidosa, animal deslumbrante, le regaló un único encuentro."
2290,"Maldita cocaína",2000,"Las ansias de venganza llevan un ingeniero a atravesar el Atlántico en un pequeño velero con el fin de interponerse en los planes de un delincuente internacional que viaja de Madrid a Punta del Este con la finalidad de realizar una transacción de droga."
2291,"Gallito ciego",2000,"Facundo es un muchacho común y normal, que necesita un trabajo para poder subsistir. Acaba de terminar la secundaria y se encuentra en una situación crítica que no le permite seguir estudiando. Es así como comienza a deambular por la ciudad durante varios días hasta que una mañana, mediante un aviso clasificado, conoce al Doctor Benavidez, un hombre de apariencia respetable, quién le ofrece un empleo en condiciones dignas. Pero no todo es lo que parece."
2294,"Rodrigo, la película",2001,"Un largometraje en el que se entrelaza una historia de amor ficticia con imágenes reales de recitales del cantante cordobés."
2320,"La fuga",2001,"Corre el año 1928 y seis presos se fugan de la Penitenciaría Nacional: un estafador, un tahúr, dos asesinos, un anarquista y un inocente. La película narra paralelamente los destinos dispares de los seis fugitivos."
2321,"El amor y el espanto",2000,"En la línea de la novela "Un poeta nacional" (1993) -en la que Carlos Feiling imaginó a un alter ego de Leopoldo Lugones en medio de un caso policial-, el guión de José Pablo Feinmann juega a enfrentar a Jorge Luis Borges con personajes y situaciones extraídos de sus cuentos y poemas. El resultado también es un policial, que intenta retratar la mutua incomprensión que se prodigaron el célebre escritor y su patria."
2322,"Mar de amores",1998,"El quiere quedarse con los
        muebles, ella detesta que la llame amor. Una vida
        juntos para terminar unidos tan sólo por el
        casamiento de su hija, Agustina. La mujer, todavía
        atractiva, no tolera verse sustituida por una
        mocosa y el hombre anda tratando de recuperar al
        lado de su tierna noviecita algo de la juventud
        perdida. Se enriedan los personajes cuando la nena
        sale corriendo detrás de la utopía romántica 
        encarnada en la persona de un artista bohemio de
        edad madura y espíritu adolescente. 
"
2323,"Buenos Aires me mata",1998,"El relato se centra en la vida de
        tres jóvenes. Gonza, cantante de una banda de rock,
        Sixto, hijo de familia millonaria y Piernitas, hija
        de un funcionario del gobierno. Sus caminos se unen
        en la noche de inauguración de la discoteca La
        Nave. Allí se entrecruzan con la extravagante
        condesa Pavlova, que es un travesti, Laureano, el
        yuppie que maneja el local, y Arteche, la manager
        de la banda. Todos llegan a La nave convencidos de
        que esa es su noche. Algunos descubrirán que ya
        nada podrá cambiarles el destino.
"
2324,"Tocá para mí",2001,"Un baterista de una banda punk, angustiado por la muerte de su padre, inicia un viaje de búsqueda interior."
2325,"Dibu 2, la venganza de Nasty",1998,"Nasty, un dibujo animado con aspecto de niño travieso, llega con dos propósitos: llevarse a su mundo de dibujos animados toneladas de caramelos masticables y secuestrar a Buji. Los caramelos le permiten cambiar de aspecto y convertirse en humano o en cualquier otro dibujo, ocultando su verdadera y temible apariencia: un monstruo."
2326,"El juguete rabioso",1998,"Silvio Astier tiene 16 años, le gusta fabricar explosivos, participa en robos y le gustan las armas. Acosado por la Policía, su grupo de amigos se disuelve y él se muda de barrio. Comienza a trabajar en una librería pero, maltratado, sin expectativas y lleno de rencor, Silvio intenta incendiar el negocio y huye por la ciudad."
2327,"Un argentino en Nueva York",1998,"Una adolescente atrevida y bonita, de viaje por Nueva York, decidió quedarse a vivir en Manhattan. Su padre, decide a esa ciudad en la que nunca ha estado, para encontrar a su hija y traerla de regreso a Buenos Aires. Así descubrirá que en esos meses su hija ha crecido, logró formar una banda musical y está de novia con un norteamericano al que adora.
"
2328,"El viento se llevó lo que",1998,"Soledad, una muchacha cansada de ser taxista en la infernal Buenos Aires, decide viajar con su coche hasta la Patagonia. Recala en un pueblo cuyos habitantes viven aislados y su único contacto con el exterior es un cine en el que se proyectan viejas películas con rollos mezclados."
2329,"Música de Laura",1994,"Laura, madre de cuatro hijos adolescentes, y esposa de un hombre inmerso en sus negocios y en la infidelidad, toma conciencia de haber vivido de acuerdo a pautas impuestas por la sociedad y la familia."
2330,"Doña Bárbara",1998,"Santos Luzardo, un joven abogado
        quien en su infancia abandonó la estancia en la que
        nació a consecuencia de una tragedia familiar,
        regresa después de muchos años con el propósito de
        venderla e instalarse en París."
